name1,name2,address1,address2,phone1,phone2,bin
100.0,100.0,40.0,40.0,100.0,100.0,1
100.0,100.0,20.0,20.0,100.0,33.33,1
100.0,100.0,12.5,12.5,100.0,50.0,1
100.0,100.0,40.0,40.0,100.0,100.0,1
100.0,100.0,71.43,71.43,100.0,33.33,1
100.0,100.0,37.5,37.5,100.0,50.0,1
100.0,100.0,15.38,15.38,100.0,50.0,1
100.0,100.0,15.38,15.38,100.0,50.0,1
100.0,100.0,0.0,0.0,100.0,100.0,1
100.0,100.0,0.0,0.0,100.0,100.0,1
100.0,100.0,10.0,10.0,100.0,100.0,1
100.0,100.0,8.33,8.33,0.0,0.0,1
100.0,100.0,50.0,50.0,0.0,0.0,1
100.0,100.0,0.0,0.0,0.0,0.0,0
100.0,100.0,7.69,7.69,0.0,0.0,1
100.0,100.0,7.69,7.69,0.0,0.0,1
100.0,100.0,40.0,40.0,0.0,0.0,1
100.0,100.0,11.11,11.11,0.0,0.0,1
66.67,66.67,0.0,0.0,0.0,0.0,0
66.67,66.67,0.0,0.0,0.0,0.0,0
100.0,100.0,10.0,10.0,0.0,0.0,1
100.0,100.0,50.0,50.0,0.0,0.0,1
100.0,100.0,50.0,50.0,0.0,0.0,1
100.0,100.0,50.0,50.0,0.0,0.0,1
100.0,100.0,10.0,10.0,0.0,0.0,1
100.0,100.0,50.0,50.0,0.0,0.0,1
100.0,100.0,0.0,0.0,0.0,0.0,0
100.0,100.0,0.0,0.0,0.0,0.0,0
100.0,100.0,50.0,50.0,0.0,0.0,1
100.0,100.0,50.0,50.0,0.0,0.0,1
100.0,100.0,0.0,0.0,0.0,0.0,0
100.0,66.67,0.0,0.0,0.0,0.0,0
100.0,100.0,0.0,0.0,0.0,0.0,1
100.0,100.0,0.0,0.0,0.0,0.0,1
100.0,100.0,0.0,0.0,0.0,0.0,1
100.0,100.0,0.0,0.0,0.0,0.0,1
100.0,66.67,0.0,0.0,0.0,0.0,0
100.0,33.33,0.0,0.0,0.0,0.0,0
100.0,25.0,0.0,0.0,0.0,0.0,0
100.0,33.33,0.0,0.0,0.0,0.0,0
100.0,25.0,0.0,0.0,0.0,0.0,0
100.0,25.0,0.0,0.0,0.0,0.0,0
100.0,33.33,0.0,0.0,0.0,0.0,0
100.0,25.0,0.0,0.0,0.0,0.0,0
100.0,33.33,0.0,0.0,0.0,0.0,0
100.0,33.33,33.33,33.33,100.0,50.0,1
100.0,33.33,0.0,0.0,0.0,0.0,0
100.0,33.33,0.0,0.0,0.0,0.0,0
100.0,33.33,0.0,0.0,0.0,0.0,0
100.0,33.33,0.0,0.0,0.0,0.0,0
100.0,33.33,0.0,0.0,0.0,0.0,0
100.0,25.0,0.0,0.0,0.0,0.0,0
100.0,33.33,0.0,0.0,0.0,0.0,0
100.0,33.33,22.22,22.22,0.0,0.0,0
100.0,33.33,22.22,22.22,0.0,0.0,0
100.0,33.33,11.11,11.11,0.0,0.0,0
100.0,33.33,22.22,22.22,0.0,0.0,0
100.0,25.0,0.0,0.0,0.0,0.0,0
100.0,33.33,11.11,11.11,0.0,0.0,0
0.0,0.0,75.0,75.0,0.0,0.0,0
0.0,0.0,75.0,75.0,0.0,0.0,0
0.0,0.0,75.0,75.0,0.0,0.0,0
0.0,0.0,75.0,75.0,0.0,0.0,0
0.0,0.0,60.0,60.0,0.0,0.0,0
0.0,0.0,57.14,57.14,0.0,0.0,0
0.0,0.0,71.43,71.43,0.0,0.0,0
0.0,0.0,71.43,71.43,0.0,0.0,0
0.0,0.0,57.14,57.14,0.0,0.0,0
0.0,0.0,57.14,57.14,0.0,0.0,0
0.0,0.0,60.0,60.0,0.0,0.0,0
0.0,0.0,60.0,60.0,0.0,0.0,0
0.0,0.0,62.5,62.5,0.0,0.0,0
0.0,0.0,57.14,57.14,0.0,0.0,0
0.0,0.0,66.67,66.67,0.0,0.0,0
0.0,0.0,71.43,71.43,0.0,0.0,0
0.0,0.0,57.14,57.14,0.0,0.0,0
0.0,0.0,57.14,57.14,0.0,0.0,0
0.0,0.0,83.33,83.33,0.0,0.0,0
0.0,0.0,66.67,66.67,0.0,0.0,0
0.0,0.0,80.0,80.0,0.0,0.0,0
0.0,0.0,80.0,80.0,0.0,0.0,0
0.0,0.0,66.67,66.67,0.0,0.0,0
0.0,0.0,66.67,66.67,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
100.0,50.0,0.0,0.0,0.0,0.0,0
100.0,33.33,0.0,0.0,0.0,0.0,0
100.0,25.0,0.0,0.0,0.0,0.0,0
33.33,33.33,0.0,0.0,0.0,0.0,0
50.0,33.33,0.0,0.0,0.0,0.0,0
100.0,33.33,0.0,0.0,0.0,0.0,0
100.0,25.0,0.0,0.0,0.0,0.0,0
100.0,25.0,0.0,0.0,0.0,0.0,0
50.0,100.0,0.0,0.0,0.0,0.0,0
50.0,50.0,0.0,0.0,0.0,0.0,0
50.0,33.33,0.0,0.0,0.0,0.0,0
33.33,33.33,0.0,0.0,0.0,0.0,0
25.0,50.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,11.11,12.5,0.0,0.0,0
0.0,0.0,12.5,14.29,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,14.29,16.67,0.0,0.0,0
0.0,0.0,16.67,10.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
25.0,33.33,11.11,12.5,0.0,0.0,0
50.0,33.33,11.11,20.0,0.0,0.0,0
